"xref_state_id","code"
7,13220
7,13300
7,13310
7,13400
7,13409
7,13500
7,13600
7,13700
7,13800
7,14000
7,14007
7,14009
7,14020
7,14100
7,14101
7,14110
7,14120
7,14200
2,14290
7,14300
7,14310
7,14320
2,14390
7,14400
3,15000
3,15050
3,15100
3,15150
3,15159
3,15200
3,15300
3,15350
3,15400
3,15500
3,15502
3,15503
3,15504
3,15505
3,15506
3,15508
3,15512
3,15514
3,15516
3,15517
3,15518
3,15519
3,15520
3,15524
3,15529
3,15532
3,15534
3,15536
3,15538
3,15540
3,15546
3,15548
3,15550
3,15551
3,15556
3,15558
3,15560
3,15564
3,15570
3,15572
3,15576
3,15578
3,15582
3,15586
3,15590
3,15592
3,15594
3,15596
3,15600
3,15604
3,15608
3,15609
3,15612
3,15614
3,15616
3,15622
3,15623
3,15626
3,15628
3,15630
3,15632
3,15634
3,15644
3,15646
3,15648
3,15658
3,15660
3,15661
3,15664
3,15670
3,15672
3,15673
3,15674
3,15676
3,15680
3,15690
3,15710
3,15720
3,15730
3,15740
3,15988
3,15990
3,16010
3,16020
3,16030
3,16040
3,16050
3,16060
3,16070
3,16080
3,16090
3,16100
3,16109
3,16150
3,16200
3,16210
3,16250
3,16300
3,16310
3,16320
3,16400
3,16450
3,16500
3,16600
3,16700
3,16800
3,16810
3,17000
3,17007
3,17009
3,17010
3,17020
3,17030
3,17040
3,17050
3,17060
3,17070
3,17200
3,17500
3,17507
3,17509
3,17510
3,17600
3,17610
3,17700
3,18000
3,18050
3,18200
3,18300
3,18400
3,18500
11,20000
11,20050
11,20100
11,20200
11,20300
11,20400
11,20500
11,20502
11,20503
11,20504
11,20505
11,20506
11,20508
11,20512
11,20514
11,20516
11,20517
11,20518
11,20519
11,20520
11,20532
11,20534
11,20536
11,20538
11,20540
11,20542
11,20546
11,20548
11,20550
11,20551
11,20552
11,20554
11,20556
11,20560
11,20564
11,20566
11,20568
11,20570
11,20572
11,20576
11,20578
11,20582
11,20586
11,20590
11,20592
11,20596
11,20600
11,20604
11,20606
11,20608
11,20609
11,20610
11,20612
11,20614
11,20618
11,20620
11,20622
11,20626
11,20628
11,20630
11,20632
11,20646
11,20648
11,20656
11,20658
11,20660
11,20661
11,20662
11,20664
11,20668
11,20670
11,20672
11,20673
11,20674
11,20676
11,20680
11,20690
11,20698
11,20700
11,20710
11,20720
11,20900
11,20902
11,20904
11,20906
11,20908
11,20910
11,20912
11,20914
11,20916
11,20918
11,20920
11,20922
11,20924
11,20926
11,20928
11,20930
11,20990
11,21000
11,21009
11,21010
11,21020
11,21030
11,21040
11,21060
11,21070
11,21080
11,21090
11,21100
11,21109
11,21200
11,21209
11,21210
11,21220
11,21300
11,21309
11,21400
11,21450
11,21500
11,21600
11,21610
11,21700
11,21800
11,21810
11,21820
11,22000
11,22010
11,22020
11,22100
11,22107
11,22109
11,22110
11,22120
11,22200
11,22300
11,22307
11,22309
11,23000
11,23007
11,23009
11,23050
11,23100
11,23200
11,23300
11,23400
11,24000
11,24007
11,24009
11,24050
11,24060
11,24100
11,24107
11,24109
11,24200
11,24207
11,24209
11,24300
6,25000
6,25050
6,25100
6,25150
6,25200
6,25250
6,25300
6,25350
6,25500
6,25502
6,25503
6,25504
6,25505
6,25506
6,25508
6,25509
6,25512
6,25514
6,25516
6,25517
6,25518
6,25520
6,25524
6,25529
6,25532
6,25534
6,25536
6,25538
6,25540
6,25546
6,25548
6,25550
6,25551
6,25552
6,25556
6,25558
6,25560
6,25564
6,25570
6,25576
6,25578
6,25582
6,25584
6,25586
6,25590
6,25592
6,25594
6,25596
6,25598
6,25600
6,25604
6,25606
6,25608
6,25609
6,25610
6,25612
6,25614
6,25620
6,25622
6,25626
6,25628
6,25630
6,25632
6,25644
6,25646
6,25648
6,25656
6,25660
6,25661
6,25662
6,25670
6,25672
6,25673
6,25674
6,25676
6,25690
6,25700
6,25710
6,25720
6,25730
6,25740
6,25750
6,25990
6,26010
6,26040
6,26050
6,26060
6,26070
6,26080
6,26090
6,26100
6,26140
6,26150
6,26170
6,26180
6,26190
6,26200
6,26250
6,26300
6,26310
6,26320
6,26330
6,26340
6,26350
6,26360
6,26370
6,26400
6,26410
6,26420
6,26430
6,26440
6,26450
6,26460
6,26485
6,26490
6,26500
6,26600
6,26607
6,26609
6,26610
6,26620
6,26630
6,26640
6,26650
6,26660
6,26680
6,26690
6,26700
6,26800
6,26810
6,26820
6,26900
6,27000
6,27010
6,27020
6,27030
6,27040
6,27050
6,27060
6,27070
6,27090
6,27100
6,27150
6,27200
6,27207
6,27209
6,27210
6,27300
6,27310
6,27400
6,27600
6,27607
6,27609
6,27610
6,27620
6,27630
6,27650
6,27660
6,27670
6,28000
6,28007
6,28009
6,28010
6,28020
6,28030
6,28040
6,28050
6,28100
6,28200
6,28300
6,28310
6,28320
6,28330
6,28340
6,28380
6,28400
6,28407
6,28409
6,28500
6,28600
6,28610
6,28620
6,28700
6,28707
6,28709
6,28730
6,28740
6,28750
6,28800
8,30000
8,30010
8,30020
8,30100
8,30200
8,30250
8,30300
8,30350
8,30450
8,30500
8,30502
8,30503
8,30504
8,30505
8,30506
8,30508
8,30510
8,30512
8,30516
8,30517
8,30518
8,30519
8,30520
8,30524
8,30532
8,30534
8,30536
8,30540
8,30542
8,30546
8,30548
8,30550
8,30551
8,30552
8,30554
8,30556
8,30560
8,30564
8,30570
8,30576
8,30580
8,30582
8,30586
8,30590
8,30592
8,30594
8,30596
8,30600
8,30604
8,30606
8,30609
8,30610
8,30612
8,30614
8,30620
8,30621
8,30622
8,30626
8,30628
8,30630
8,30632
8,30634
8,30644
8,30646
8,30648
8,30656
8,30658
8,30660
8,30661
8,30662
8,30664
8,30668
8,30670
8,30673
8,30674
8,30676
8,30682
8,30690
8,30700
8,30710
8,30720
8,30730
8,30740
8,30750
8,30760
8,30770
8,30780
8,30790
8,30800
8,30810
8,30820
8,30830
8,30840
8,30900
8,30902
8,30904
8,30906
8,30908
8,30910
8,30912
8,30988
8,30990
8,31000
8,31007
8,31009
8,31050
8,31100
8,31150
8,31200
8,31250
8,31300
8,31350
8,31400
8,31407
8,31409
8,31450
8,31500
8,31550
8,31560
8,31600
8,31610
8,31650
8,31700
8,31750
8,31800
8,31850
8,31900
8,31907
8,31909
8,31910
8,31920
8,31950
8,32000
8,32040
8,32100
8,32200
8,32300
8,32400
8,32500
8,32600
8,32610
8,32700
8,32800
8,32900
8,33000
8,33007
8,33009
8,33010
8,33020
8,33030
8,33040
8,33100
8,33200
8,33300
8,33310
8,33320
8,33400
8,33410
8,33420
8,33500
8,33600
8,33700
8,33800
8,34000
8,34007
8,34008
8,34009
8,34010
8,34020
8,34030
8,34100
8,34120
8,34130
8,34140
